protocol=4 seed=67 ops=10000
DET scan_inverted 0
DET scan_snapshot 1
DET delrange_empty ok
SCAN [key4291, key7368) key5834=>value38460
SCAN [key2569, key7123) key2575=>value33822 key3187=>value76902 key3503=>value87122 key407=>value71623 key4075=>value19674 key4335=>value61543 key4819=>value86870 key5301=>value73502 key5509=>value2346 key6174=>value33714 key6187=>value18606 key6807=>value40919 key6832=>value96024 key685=>value27435
SCAN [key1621, key1990)
SCAN [key2292, key8467) key3653=>value70348
SCAN [key3206, key9582) key3653=>value70348 key434=>value23988 key5212=>value28472 key6338=>value33331 key6448=>value81431 key7252=>value9698 key7814=>value50573
SCAN [key2174, key4532) key3086=>value21039 key3653=>value70348 key434=>value23988
SCAN [key3528, key6986) key4110=>value93950 key5909=>value38908 key5928=>value66889
SCAN [key2349, key5725) key2427=>value55737 key4110=>value93950 key4489=>value26008 key5516=>value43722 key5539=>value25742
GET key1066 => value49145
SCAN [key4176, key7903)
SCAN [key4942, key9796) key6105=>value39453 key826=>value69316 key9567=>value34861 key9598=>value67864 key965=>value34818 key9754=>value43712 key9758=>value6130
SCAN [key8414, key88)
SCAN [key6915, key7908)
GET key121 => value27074
SCAN [key7092, key919)
SCAN [key2173, key4569) key2311=>value78246 key2573=>value11534 key3719=>value99649 key448=>value72135
SCAN [key5967, key6801) key6525=>value14852 key6565=>value46603
SCAN [key548, key7865) key5864=>value6745 key5876=>value53825 key6197=>value95437 key6384=>value12005 key6525=>value14852 key6565=>value46603 key6805=>value71889 key7076=>value11559
SCAN [key1720, key6) key1736=>value27465 key2311=>value78246 key2573=>value11534 key2579=>value42569 key3281=>value93440 key3370=>value50150 key3610=>value92558 key3719=>value99649 key4062=>value68095 key448=>value72135 key4644=>value18536 key4848=>value38676 key4886=>value84301 key5084=>value50528 key5201=>value97872 key5385=>value93832 key5864=>value6745 key5876=>value53825
SCAN [key2543, key4987) key2573=>value11534 key2579=>value42569 key3281=>value93440 key3370=>value50150 key3610=>value92558 key3719=>value99649 key3919=>value14320 key4062=>value68095 key448=>value72135 key4644=>value18536 key465=>value73788 key4848=>value38676 key4886=>value84301
SCAN [key8429, key9633) key8539=>value85192 key9189=>value97403 key9317=>value16460 key9567=>value34861 key9588=>value52759 key9598=>value67864
SCAN [key2290, key503) key2311=>value78246 key2324=>value53810 key2943=>value89299 key4119=>value59310
SCAN [key6284, key8136) key6785=>value92381 key6829=>value97060 key7031=>value26302 key7076=>value11559 key7332=>value29585 key7369=>value28387 key7712=>value49633
SCAN [key7125, key7706) key7332=>value29585 key7369=>value28387
SCAN [key3432, key7764) key363=>value61679 key3778=>value34444 key4059=>value75152 key4119=>value59310 key52=>value78193 key6231=>value65647 key6785=>value92381 key6829=>value97060 key7031=>value26302 key7076=>value11559 key7332=>value29585 key7369=>value28387 key7712=>value49633
SCAN [key4014, key9231) key4059=>value75152 key4119=>value59310 key508=>value2182 key52=>value78193 key6231=>value65647 key6785=>value92381 key6829=>value97060 key7031=>value26302 key7076=>value11559 key7332=>value29585 key7369=>value28387 key7677=>value49374 key7712=>value49633 key7761=>value5756 key8192=>value26669 key8286=>value64985 key8328=>value76285 key8382=>value85904 key8539=>value85192 key9189=>value97403
SCAN [key2363, key2994) key2587=>value55268 key2761=>value15111 key2943=>value89299
SCAN [key4511, key9741) key4958=>value46980 key5703=>value43721 key6183=>value35044 key6231=>value65647 key6600=>value33242 key6785=>value92381 key6829=>value97060 key7031=>value26302 key7076=>value11559 key7332=>value29585 key7369=>value28387 key7395=>value81620 key7677=>value49374 key7712=>value49633 key7761=>value5756 key8192=>value26669 key8259=>value44008 key8286=>value64985 key8328=>value76285 key8382=>value85904 key8452=>value93297 key850=>value70321 key8539=>value85192 key9104=>value39717 key9189=>value97403 key9317=>value48591 key9567=>value34861 key9583=>value41279 key9588=>value52759 key9598=>value67864 key9645=>value22193 key965=>value34818
SCAN [key7276, key8613) key7332=>value29585 key7369=>value28387 key7395=>value81620 key7677=>value49374 key7712=>value49633 key7761=>value5756 key8192=>value26669 key8259=>value44008 key8286=>value64985 key8328=>value76285 key8382=>value85904 key8452=>value93297 key850=>value70321 key8539=>value85192
SCAN [key376, key9165) key3778=>value34444 key4059=>value75152 key4119=>value59310 key4390=>value16957 key4958=>value46980 key5703=>value43721 key6183=>value35044 key6231=>value65647 key6600=>value33242 key6785=>value92381 key6829=>value97060 key7031=>value26302 key7076=>value11559 key7332=>value29585 key7369=>value28387 key7395=>value81620 key7677=>value49374 key7712=>value49633 key7761=>value5756 key8192=>value26669 key8259=>value44008 key8286=>value64985 key8328=>value76285 key8382=>value85904 key8452=>value93297 key850=>value70321 key8539=>value85192 key9104=>value39717
SCAN [key6130, key8139) key6183=>value35044 key6231=>value65647 key6600=>value33242 key6785=>value92381 key6829=>value97060 key7031=>value26302 key7076=>value11559 key7332=>value29585 key7369=>value28387 key7395=>value81620 key7677=>value49374 key7712=>value49633 key7761=>value5756
SCAN [key4863, key4930)
SCAN [key1616, key5384) key1707=>value75792 key1736=>value27465 key1758=>value59008 key1863=>value44713 key1884=>value90017 key1912=>value5127 key1987=>value43699 key2164=>value10638 key2311=>value78246 key2324=>value53810 key2587=>value55268 key2761=>value15111 key2943=>value89299 key3449=>value38791
SCAN [key8697, key9148) key9104=>value39717
SCAN [key1041, key5811) key1041=>value2828 key1047=>value46037 key1054=>value25105 key1060=>value14704 key1066=>value49145 key1072=>value59162 key1075=>value56623 key1090=>value55722 key1091=>value3485 key1100=>value26753 key1106=>value39265 key1108=>value30172 key1109=>value36229 key1165=>value3034 key117=>value62800 key1196=>value62483 key1200=>value75233 key121=>value27074 key1221=>value41081 key1225=>value50852 key1228=>value62266 key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1392=>value6785 key1437=>value44685 key1476=>value33444 key1478=>value71945 key1489=>value58976 key1528=>value66676 key1529=>value54213 key1560=>value68138 key1573=>value31530 key1581=>value7854 key1590=>value38673 key1612=>value1638 key1707=>value75792 key1736=>value27465 key1758=>value59008 key1863=>value44713 key1884=>value90017 key1912=>value5127 key1987=>value43699 key2164=>value10638 key2311=>value78246 key2324=>value53810 key2587=>value55268 key2761=>value15111 key2943=>value89299 key3449=>value38791
SCAN [key1744, key5168)
SCAN [key5819, key6627)
SCAN [key8799, key8850)
SCAN [key3767, key5497)
SCAN [key6631, key7527) key7447=>value36710
SCAN [key5618, key9810) key5813=>value4128 key6301=>value83911 key7447=>value36710 key8957=>value44813 key9016=>value16179 key9104=>value39717 key9189=>value97403 key9317=>value48591 key9567=>value34861 key9583=>value41279 key9588=>value52759 key9598=>value67864 key9645=>value22193 key965=>value34818 key9754=>value43712 key9758=>value6130 key9759=>value79400
SCAN [key4347, key8310) key4778=>value53202 key4825=>value72114 key5813=>value4128 key6301=>value83911 key7447=>value36710
SCAN [key3378, key7347) key3466=>value13320 key4778=>value53202 key4825=>value72114 key5813=>value4128 key6301=>value83911
SCAN [key2306, key3101)
SCAN [key3795, key9620) key463=>value72494 key4778=>value53202 key4825=>value72114 key5813=>value4128 key6301=>value83911 key7416=>value53660 key7447=>value36710 key8382=>value80671 key8957=>value44813 key9016=>value16179 key9104=>value39717 key9189=>value97403 key9317=>value48591 key9567=>value34861 key9583=>value41279 key9588=>value52759 key9598=>value67864
SCAN [key1162, key2912) key1165=>value3034 key117=>value62800 key1196=>value62483 key1200=>value75233 key121=>value27074 key1221=>value41081 key1225=>value50852 key1228=>value62266 key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1392=>value6785 key2004=>value57509 key2075=>value8709 key2127=>value33869
SCAN [key2307, key2741)
SCAN [key6301, key719) key6301=>value83911
SCAN [key8460, key9367) key8957=>value44813 key9016=>value16179 key9104=>value39717 key9189=>value97403 key9317=>value48591
SCAN [key5162, key9115) key5431=>value13464 key5796=>value71074 key5813=>value58656 key6231=>value61417 key6301=>value83911 key6445=>value93632 key6648=>value56126 key7174=>value49257 key7347=>value99557 key7416=>value53660 key7447=>value36710 key8021=>value88255 key8344=>value33593 key8382=>value80671 key880=>value53102 key8957=>value44813 key9016=>value16179 key9104=>value39717
SCAN [key1024, key3597) key1035=>value8386 key1040=>value23261 key1041=>value2828 key1047=>value46037 key1054=>value25105 key1060=>value14704 key1066=>value49145 key1072=>value59162 key1075=>value56623 key108=>value59654 key1181=>value99591 key1225=>value50852 key1228=>value62266 key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1392=>value6785 key1599=>value67067 key1613=>value54657 key1694=>value75030 key1710=>value35019 key1792=>value44675 key1866=>value79320 key2004=>value57509 key2075=>value8709 key2127=>value33869 key2206=>value15726 key2476=>value65047 key251=>value86415 key2647=>value74502 key3088=>value24162 key3142=>value50316 key3147=>value39678 key3268=>value46402 key3466=>value13320 key3583=>value20431
SCAN [key7536, key927) key880=>value53102 key8957=>value44813 key9016=>value16179 key9104=>value39717 key9151=>value70508 key9189=>value97403
SCAN [key2469, key6540) key2476=>value65047 key251=>value86415 key2647=>value74502 key2696=>value40281 key3088=>value24162 key3142=>value50316 key3147=>value39678 key3268=>value46402 key3466=>value13320 key3583=>value20431 key3667=>value1859 key3676=>value32232 key3833=>value83720 key3897=>value90083 key421=>value17292 key4272=>value42881 key4396=>value20340 key4407=>value54262 key4556=>value34284 key463=>value72494 key469=>value41515 key4777=>value24871 key4778=>value53202 key4825=>value72114 key4827=>value46813 key4856=>value59445 key4900=>value68925 key4918=>value86801 key5091=>value16977 key5746=>value23347
SCAN [key1089, key5665) key1181=>value99591 key1225=>value50852 key1228=>value62266 key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1392=>value6785 key1599=>value67067 key1613=>value54657 key1694=>value75030 key1698=>value26216 key1710=>value35019 key1792=>value44675 key1866=>value79320 key1960=>value49261 key2004=>value57509 key2075=>value8709 key2127=>value33869 key2206=>value15726 key2476=>value65047 key251=>value86415 key2647=>value74502 key2696=>value40281 key3088=>value24162 key3142=>value50316 key3147=>value39678 key3268=>value46402 key3466=>value13320 key3583=>value20431 key3667=>value1859 key3676=>value32232 key3833=>value83720 key3897=>value90083 key421=>value17292 key4272=>value42881 key4396=>value20340 key4407=>value54262 key4556=>value34284 key463=>value72494 key469=>value41515 key4777=>value24871 key4778=>value53202 key4825=>value72114 key4827=>value46813 key4856=>value59445 key4900=>value68925 key4918=>value86801 key5091=>value16977
SCAN [key5885, key9422) key7010=>value35018 key7921=>value38661 key8589=>value17978 key9151=>value70508 key9189=>value97403 key9317=>value48591
SCAN [key7938, key8494)
SCAN [key1240, key2016) key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1385=>value49010 key1392=>value6785 key1462=>value63085 key1960=>value49261 key2004=>value57509
SCAN [key7436, key7691) key7619=>value20855
SCAN [key1655, key3048) key1960=>value49261 key2004=>value57509 key2075=>value8709 key2127=>value33869 key2206=>value15726 key2422=>value66670 key2476=>value65047 key251=>value86415 key2647=>value74502 key2696=>value40281
SCAN [key1963, key4536) key2004=>value57509 key2075=>value8709 key2127=>value33869 key2206=>value15726 key2422=>value66670 key2476=>value65047 key251=>value86415 key2647=>value74502 key2696=>value40281 key3088=>value24162 key3142=>value50316 key3147=>value39678 key3167=>value62221 key3194=>value5312 key3268=>value46402 key327=>value63873 key3466=>value13320 key3545=>value26006 key3583=>value20431 key3667=>value1859 key3676=>value32232 key3769=>value48988 key3771=>value13425 key3833=>value83720 key3897=>value90083 key4098=>value97140 key421=>value17292 key4213=>value68096 key423=>value26660 key4272=>value42881 key4396=>value20340 key4397=>value56695 key4407=>value80141
SCAN [key5109, key6609) key521=>value43445 key53=>value53629 key5315=>value57040 key5640=>value46126 key5651=>value72173 key5746=>value23347 key5773=>value73041 key5951=>value53088 key6147=>value9828 key6380=>value16584 key6406=>value29413 key6574=>value5897
SCAN [key2733, key3505) key3088=>value24162 key3142=>value50316 key3147=>value39678 key3167=>value62221 key3194=>value5312 key3268=>value46402 key327=>value63873 key3466=>value13320
SCAN [key7775, key8931) key7921=>value38661 key7934=>value54156 key8141=>value71958 key8505=>value89902 key8540=>value67757 key8589=>value17978 key8724=>value64479
SCAN [key3960, key5044)
SCAN [key7158, key9336) key7619=>value20855 key7640=>value68534 key7921=>value38661 key7934=>value54156 key8141=>value71958 key8505=>value89902 key8540=>value67757 key8589=>value17978 key8724=>value64479 key8960=>value34382 key9151=>value70508 key9183=>value44027 key9189=>value97403 key9317=>value48591
SCAN [key4022, key6236)
SCAN [key1484, key8434) key1636=>value26427 key164=>value9975 key1953=>value34617 key1960=>value49261 key2004=>value57509 key2075=>value8709 key2127=>value33869 key2206=>value15726 key2407=>value38563 key2422=>value66670 key2476=>value65047 key251=>value86415 key2647=>value74502 key2696=>value40281 key285=>value59453 key3088=>value24162 key3142=>value50316 key3147=>value39678 key3167=>value62221 key3194=>value5312 key3268=>value46402 key327=>value63873 key3466=>value13320 key3545=>value26006 key3583=>value20431 key3633=>value56630 key3667=>value1859 key3676=>value32232 key3769=>value48988 key3771=>value13425 key3833=>value75446 key3897=>value90083 key6574=>value5897 key6663=>value4917 key7010=>value35018 key7043=>value44375
SCAN [key7104, key8593) key7563=>value98092 key8505=>value89902 key8540=>value67757 key8589=>value17978
SCAN [key2651, key6695)
SCAN [key6839, key9826) key8100=>value47327 key8505=>value89902 key8540=>value67757 key8589=>value17978 key8724=>value64479 key8862=>value91 key8960=>value34382 key9151=>value70508 key9183=>value44027 key9189=>value97403 key9317=>value48591 key9366=>value16518 key9453=>value11972 key953=>value25593 key9549=>value15034 key9567=>value34861 key9583=>value41279 key9588=>value52759 key9598=>value67864 key9645=>value22193 key965=>value34818 key968=>value68094 key9754=>value43712 key9758=>value6130 key9759=>value79400 key9817=>value53363 key9818=>value58168
SCAN [key1027, key8248) key1035=>value8386 key1040=>value23261 key1041=>value2828 key1047=>value46037 key1054=>value25105 key1060=>value14704 key1066=>value49145 key1072=>value59162 key1075=>value56623 key108=>value59654 key1101=>value32303 key1181=>value99591 key1225=>value50852 key1228=>value62266 key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1385=>value49010 key1392=>value6785 key1462=>value63085 key1632=>value76549 key1636=>value26427 key164=>value9975 key1953=>value34617 key1960=>value49261 key2004=>value57509 key2247=>value35503 key2329=>value38127 key715=>value29580 key8100=>value47327
SCAN [key4572, key4671)
SCAN [key2349, key9194) key715=>value29580 key8004=>value3814 key8100=>value47327 key8505=>value89902 key8540=>value67757 key8589=>value17978 key8724=>value64479 key8862=>value91 key8960=>value34382 key9151=>value70508 key9183=>value44027 key9189=>value97403
SCAN [key4511, key7811) key715=>value29580 key7278=>value48572
SCAN [key6855, key6895)
SCAN [key3990, key897) key4420=>value26860 key715=>value29580 key7278=>value48572 key8004=>value3814 key8044=>value41178 key8100=>value47327 key8505=>value89902 key8540=>value67757 key8589=>value17978 key8724=>value64479 key8862=>value91 key8960=>value34382
SCAN [key2801, key4128)
SCAN [key5839, key9799) key715=>value29580 key7278=>value48572 key8004=>value3814 key8044=>value41178 key8100=>value47327 key8505=>value89902 key8540=>value67757 key8589=>value17978 key8724=>value64479 key8862=>value91 key8960=>value34382 key9151=>value70508 key9183=>value44027 key9189=>value97403 key9317=>value48591 key9366=>value16518 key9453=>value11972 key953=>value25593 key9549=>value15034 key9567=>value34861 key9583=>value8507 key9588=>value52759 key9598=>value67864 key9645=>value22193 key965=>value34818 key968=>value68094 key9754=>value43712 key9758=>value6130 key9759=>value79400
SCAN [key1609, key5409) key1632=>value76549 key1636=>value26427 key164=>value9975 key1670=>value60022 key1785=>value44648 key1953=>value34617 key1960=>value49261 key197=>value41043 key2004=>value57509 key2247=>value35503 key2329=>value38127 key2551=>value17540 key2581=>value64343 key288=>value26845 key2994=>value15730
SCAN [key4946, key9463) key4960=>value26471 key5369=>value58903 key5949=>value68972 key6744=>value74868 key6849=>value14439 key6853=>value7655 key7600=>value26274 key7654=>value66317 key8044=>value41178 key8100=>value47327 key8505=>value89902 key8540=>value67757 key8589=>value17978 key8724=>value64479 key8771=>value84188 key8829=>value81356 key8862=>value91 key8960=>value34382 key9151=>value70508 key9183=>value44027 key9189=>value97403 key9243=>value32042 key9317=>value48591 key9366=>value16518 key9434=>value83499 key9453=>value11972
SCAN [key631, key696) key6744=>value74868 key6849=>value14439 key6853=>value7655
SCAN [key4524, key775) key4736=>value14651 key4960=>value26471 key5369=>value58903 key5949=>value68972 key6744=>value74868 key6849=>value14439 key6853=>value7655 key7600=>value26274 key7654=>value66317
SCAN [key4073, key4358)
SCAN [key160, key4042) key1632=>value76549 key1636=>value26427 key164=>value9975 key1670=>value60022 key1785=>value44648 key195=>value61011 key1953=>value34617 key1960=>value49261 key197=>value41043 key2004=>value57509 key2247=>value35503 key2329=>value38127 key2447=>value81912 key2551=>value17540 key2581=>value64343 key2820=>value61959 key288=>value26845 key2994=>value15730 key3374=>value53960
SCAN [key7903, key802)
GET key2994 => value15730
SCAN [key1095, key9255) key1101=>value32303 key1116=>value51966 key1181=>value99591 key1191=>value56698 key1225=>value50852 key1228=>value62266 key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1385=>value49010 key1392=>value6785 key1462=>value63085 key1632=>value76549 key1636=>value26427 key164=>value9975 key1670=>value60022 key1785=>value44648 key195=>value61011 key1953=>value34617 key1960=>value49261 key197=>value41043 key2002=>value22452 key2004=>value57509 key213=>value99373 key2206=>value59147 key2247=>value35503 key2329=>value38127 key2447=>value81912 key2481=>value15214 key2551=>value17540 key2581=>value64343 key2820=>value61959 key288=>value26845 key2994=>value15730 key3374=>value53960 key4057=>value47324 key449=>value3143 key4736=>value14651 key4960=>value26471 key5199=>value31750 key5369=>value58903 key5949=>value68972 key597=>value20731 key6468=>value90899 key6651=>value39568 key6744=>value74868 key6849=>value14439 key6853=>value7655 key7448=>value2854 key8044=>value41178 key8100=>value47327 key8479=>value98333 key8505=>value89902 key8540=>value67757 key8589=>value17978 key8724=>value64479 key8771=>value84188 key8829=>value81356 key8862=>value91 key8960=>value34382 key8986=>value11563 key9151=>value70508 key9183=>value44027 key9189=>value97403 key9243=>value32042
SCAN [key4380, key8046) key449=>value3143 key4736=>value14651 key481=>value60137 key4960=>value26471 key5199=>value31750 key5369=>value58903 key5949=>value68972 key597=>value20731 key6315=>value84353 key6468=>value90899 key6651=>value39568 key6744=>value74868 key6849=>value14439 key6853=>value7655 key7448=>value2854 key764=>value87533 key8044=>value41178
SCAN [key380, key5337) key4057=>value47324 key449=>value3143 key4736=>value14651 key481=>value60137 key4960=>value26471 key5199=>value31750
SCAN [key3038, key3909) key3374=>value53960 key343=>value18293
SCAN [key1697, key4737) key178=>value6341 key1785=>value44648 key195=>value61011 key1953=>value34617 key1960=>value49261 key197=>value41043 key198=>value71097 key2002=>value22452 key2004=>value57509 key213=>value99373 key2206=>value59147 key2247=>value35503 key2329=>value38127 key2447=>value81912 key2481=>value15214 key2551=>value17540 key2581=>value64343 key2820=>value61959 key288=>value26845 key2994=>value15730 key3374=>value53960 key343=>value18293 key4032=>value51903 key4057=>value47324 key449=>value3143 key4648=>value5542 key4736=>value14651
SCAN [key3481, key4518) key4032=>value51903 key4057=>value47324 key449=>value3143
SCAN [key1192, key6279) key1225=>value50852 key1228=>value62266 key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1385=>value49010 key1392=>value6785 key1462=>value63085 key1632=>value76549 key1636=>value26427 key164=>value9975 key1670=>value60022 key178=>value6341 key1785=>value44648 key195=>value61011 key1953=>value34617 key1960=>value49261 key197=>value41043 key198=>value71097 key2002=>value22452 key2004=>value57509 key213=>value99373 key2206=>value59147 key2247=>value35503 key2329=>value38127 key2447=>value81912 key2481=>value15214 key2551=>value17540 key2581=>value64343 key2820=>value61959 key288=>value26845 key2994=>value15730 key3374=>value53960 key343=>value18293 key4032=>value51903 key4057=>value47324 key449=>value3143 key4648=>value5542 key4736=>value14651 key481=>value60137 key4960=>value26471 key5199=>value31750 key5369=>value58903 key552=>value96623 key5672=>value64426 key5949=>value68972 key597=>value20731
SCAN [key3866, key5275) key4032=>value51903 key4037=>value83161 key4057=>value47324 key4224=>value68960 key449=>value3143 key4648=>value5542 key4736=>value14651 key481=>value60137 key4960=>value26471 key5199=>value31750
SCAN [key7028, key8444) key7371=>value17162 key7448=>value2854 key7513=>value82334 key764=>value87533 key8029=>value96396 key8044=>value41178 key8100=>value47327
SCAN [key4171, key5373) key5086=>value44074
SCAN [key1230, key492) key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1385=>value49010 key1392=>value6785 key1455=>value29246 key1462=>value63085 key1632=>value76549 key1636=>value26427 key164=>value9975 key1670=>value60022 key178=>value6341 key1785=>value44648 key1842=>value85537 key1942=>value28176 key195=>value61011 key1953=>value34617 key1960=>value49261 key197=>value41043 key198=>value71097 key2002=>value72294 key2004=>value57509 key213=>value99373 key2190=>value23562 key2197=>value12270 key2206=>value59147 key2247=>value35503 key2329=>value38127 key2447=>value81912 key2481=>value15214 key2503=>value65884 key2551=>value17540 key2581=>value64343 key2820=>value61959 key288=>value26845 key289=>value92387 key2994=>value15730 key3374=>value53960 key343=>value18293 key4337=>value45558 key4416=>value12140 key46=>value27832
SCAN [key1563, key5520) key1632=>value76549 key1636=>value26427 key164=>value9975 key1670=>value60022 key178=>value6341 key1785=>value44648 key1842=>value85537 key1942=>value28176 key195=>value61011 key1953=>value34617 key1960=>value49261 key197=>value41043 key198=>value71097 key2002=>value72294 key2004=>value57509 key213=>value99373 key2190=>value23562 key2197=>value12270 key2206=>value59147 key2247=>value35503 key2329=>value38127 key2447=>value81912 key2481=>value15214 key2503=>value65884 key2551=>value17540 key2581=>value64343 key2820=>value61959 key288=>value26845 key289=>value92387 key2994=>value15730 key3374=>value53960 key343=>value18293 key4337=>value45558 key4416=>value12140 key46=>value27832 key5086=>value44074 key5510=>value18143
SCAN [key1611, key7850) key1632=>value76549 key1636=>value26427 key164=>value9975 key1670=>value60022 key178=>value6341 key1785=>value44648 key1842=>value85537 key1942=>value28176 key195=>value61011 key1953=>value34617 key1960=>value49261 key197=>value41043 key198=>value71097 key2002=>value72294 key2004=>value57509 key213=>value99373 key2190=>value23562 key2197=>value12270 key2206=>value59147 key2247=>value35503 key2329=>value38127 key2447=>value81912 key2481=>value15214 key2503=>value65884 key2551=>value17540 key2581=>value64343 key2820=>value61959 key288=>value26845 key289=>value92387 key2994=>value15730 key3374=>value53960 key343=>value18293 key4337=>value45558 key4416=>value12140 key46=>value27832 key5086=>value44074 key5510=>value18143 key5968=>value91802 key6558=>value26509 key743=>value36919
SCAN [key1198, key8883) key1225=>value50852 key1228=>value62266 key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1382=>value64059 key1385=>value49010 key1392=>value6785 key1455=>value29246 key1462=>value63085 key1632=>value76549 key1636=>value26427 key164=>value9975 key1670=>value60022 key1719=>value18632 key178=>value6341 key1785=>value44648 key1842=>value85537 key1942=>value28176 key195=>value61011 key1953=>value34617 key1960=>value49261 key197=>value41043 key198=>value71097 key2002=>value72294 key2004=>value57509 key213=>value99373 key2190=>value23562 key2197=>value12270 key2206=>value59147 key2247=>value35503 key2329=>value38127 key2447=>value81912 key2481=>value15214 key2503=>value65884 key2551=>value17540 key2581=>value64343 key2820=>value61959 key288=>value26845 key289=>value92387 key2994=>value15730 key3036=>value50797 key3191=>value80425 key3374=>value53960 key343=>value18293 key3570=>value74007 key4009=>value46884 key4037=>value45491 key4051=>value44392 key4113=>value84058 key4337=>value45558 key4416=>value12140 key46=>value27832 key4742=>value76770 key5086=>value44074 key5510=>value18143 key5968=>value91802 key6558=>value26509 key743=>value36919 key7638=>value48234 key7645=>value32845 key7874=>value8262 key7891=>value43219 key7932=>value62735 key8029=>value96396 key8044=>value41178 key8100=>value47327 key8197=>value95585 key8479=>value98333 key8485=>value15230 key8505=>value89902 key8540=>value67757 key8582=>value33440 key8589=>value17978 key8724=>value64479 key8733=>value29469 key8771=>value84188 key8829=>value81356 key8862=>value91
SCAN [key388, key5595) key4009=>value46884 key4037=>value45491 key4051=>value44392 key4113=>value84058 key4337=>value45558 key4416=>value12140 key46=>value27832 key4742=>value76770 key5086=>value44074 key5386=>value16031 key5510=>value18143
SCAN [key6819, key7015)
SCAN [key1481, key8091) key3439=>value81661 key3696=>value25105 key4664=>value8718 key4886=>value57474 key5389=>value37270 key546=>value47389 key6281=>value93176 key6351=>value80716 key6410=>value31380 key6504=>value53161 key6549=>value78274 key6871=>value27385 key697=>value50687 key7436=>value67069 key7638=>value48234 key7645=>value32845 key7874=>value8262 key7891=>value43219 key7932=>value62735 key8029=>value96396 key8044=>value41178
SCAN [key1236, key660) key1283=>value85689 key1287=>value15816 key1292=>value35098 key131=>value24177 key1311=>value91294 key1318=>value34661 key1331=>value79884 key1351=>value91059 key1382=>value64059 key1385=>value49010 key1392=>value6785 key1455=>value29246 key1462=>value63085 key3439=>value81661 key3696=>value25105 key4664=>value8718 key4886=>value57474 key5389=>value37270 key546=>value47389 key6281=>value93176 key6351=>value80716 key6410=>value31380 key6504=>value53161 key6549=>value78274
SCAN [key5288, key8230) key5389=>value37270 key546=>value47389 key6109=>value44036 key6118=>value16539 key6140=>value7495 key6281=>value93176 key6342=>value7944 key6351=>value80716 key6410=>value31380 key6504=>value53161 key6549=>value78274
SCAN [key2443, key4855) key3088=>value56161 key3439=>value81661 key3696=>value25105 key4664=>value8718
SCAN [key9117, key944) key9117=>value80293 key9151=>value70508 key9153=>value50685 key9159=>value32191 key9183=>value44027 key9189=>value97403 key9243=>value32042 key9250=>value89449 key9317=>value48591 key9366=>value16518 key9425=>value98092 key9434=>value83499
SCAN [key2059, key678) key2336=>value73426 key3088=>value56161 key318=>value32775 key3439=>value81661 key3696=>value25105 key4664=>value8718 key4886=>value57474 key5389=>value37270 key546=>value47389 key6109=>value44036 key6118=>value16539 key6140=>value7495 key6281=>value93176 key6342=>value7944 key6351=>value80716 key6410=>value31380 key6504=>value53161 key6549=>value78274
SCAN [key4382, key5017) key4664=>value8718 key4886=>value57474
SCAN [key2185, key6554) key5785=>value67683 key6362=>value44827
SCAN [key4427, key7637) key5785=>value67683 key6362=>value44827 key662=>value33357 key7099=>value95159 key7583=>value45748
SCAN [key5548, key6410)
SCAN [key3750, key6725) key5478=>value4320 key5480=>value89142 key6209=>value5223 key6717=>value64603
SCAN [key4602, key484) key4835=>value67859
